FundCode,port_mgr_name,port_mgr_role_desc,effective_from_date,display_order
HHUSSE,Hamish Chamberlayne,Portfolio Manager,2021-08-03T00:00:00.000Z,1
863,Tim Winstone,Portfolio Manager,2024-05-20T00:00:00.000Z,2
BIF2,Andy Acker,Portfolio Manager,2024-08-01T00:00:00.000Z,1
FMPE27,Carl Jones,Portfolio Manager,2023-11-02T00:00:00.000Z,5
11,Michael Keough,Portfolio Manager,2019-12-03T00:00:00.000Z,2
GUSOGF,Brian Recht,Portfolio Manager,2022-03-01T00:00:00.000Z,3
JRE100,Daniel Greenberger,Portfolio Manager,2021-06-22T00:00:00.000Z,2
IIPUCV,Pete Webster,Portfolio Manager,2023-07-07T00:00:00.000Z,3
JBBB10,Jessica Shill,Portfolio Manager,2022-01-11T00:00:00.000Z,3
148,Dylan Bourke,Portfolio Manager,2021-06-15T00:00:00.000Z,3
147,John Lloyd,Portfolio Manager,2014-02-28T00:00:00.000Z,3
82JSF,Brian Recht,Portfolio Manager,2022-03-01T00:00:00.000Z,3
ALPF,Jay Sivapalan,Portfolio Manager,2020-12-01T00:00:00.000Z,1
THII,David Smith,Portfolio Manager,2014-01-02T00:00:00.000Z,1
89,Daniel Lyons,Portfolio Manager,2023-01-31T00:00:00.000Z,2
74,Denny Fish,Portfolio Manager,2016-01-12T00:00:00.000Z,1
83,John Lloyd,Portfolio Manager,2024-06-01T00:00:00.000Z,3
848JSF,John Kerschner,Portfolio Manager,2020-09-30T00:00:00.000Z,2
HHJZJS,Yunyoung Lee,Portfolio Manager,2005-05-01T00:00:00.000Z,1
TSCIUS,Neil Hermon,Portfolio Manager,2002-11-01T00:00:00.000Z,1
62,Matt Peron,Portfolio Manager,2020-04-13T00:00:00.000Z,1
GCNOPI,Victoria Mio,Portfolio Manager,2024-04-01T00:00:00.000Z,1
96JSF,Guy Barnard,Portfolio Manager,2017-06-05T00:00:00.000Z,1
GEUOEI,John Bennett,Portfolio Manager,2010-01-14T00:00:00.000Z,3
202,Ashwin Alankar,Portfolio Manager,2014-09-01T00:00:00.000Z,1
113,Aaron Schaechterle,Portfolio Manager,2023-09-01T00:00:00.000Z,3
71,Daniel Lyons,Portfolio Manager,2023-01-31T00:00:00.000Z,2
68,Nick Schommer,Portfolio Manager,2016-01-12T00:00:00.000Z,2
GTEOTI,Alison Porter,Portfolio Manager,2018-03-29T00:00:00.000Z,2
GEUOEI,Marc Schartz,Portfolio Manager,2024-02-01T00:00:00.000Z,2
172,Craig Kempler,Portfolio Manager,2024-07-23T00:00:00.000Z,2
96JSF,Tim Gibson,Portfolio Manager,2017-12-15T00:00:00.000Z,2
EURIEI,Jamie Ross,Portfolio Manager,2018-10-05T00:00:00.000Z,1
63,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,2
JHUSSE,Hamish Chamberlayne,Portfolio Manager,2022-09-20T00:00:00.000Z,1
GSMSUS,Rory Stokes,Portfolio Manager,2015-08-01T00:00:00.000Z,2
TABEUS,Tabula Investment Management Limited,Portfolio Manager,2023-09-29T00:00:00.000Z,1
HEUZEI,Nick Sheridan,Portfolio Manager,2011-11-04T00:00:00.000Z,1
155,Benjamin Wang,Portfolio Manager,2016-04-07T00:00:00.000Z,1
JHAGSE,Aaron Scully,Portfolio Manager,2021-09-01T00:00:00.000Z,2
SMD100,Benjamin Wang,Portfolio Manager,2016-02-23T00:00:00.000Z,1
TBGHYU,Tabula Investment Management Limited,Portfolio Manager,2024-06-17T00:00:00.000Z,1
JBBB10,John Kerschner,Portfolio Manager,2022-01-11T00:00:00.000Z,1
UGEI,Job Curtis,Portfolio Manager,2006-11-30T00:00:00.000Z,3
GPUK,Greg Kuhl,Portfolio Manager,2023-01-11T00:00:00.000Z,3
GSLOEI,Tom O'Hara,Portfolio Manager,2020-01-31T00:00:00.000Z,1
APGR,Ben Wallace,Portfolio Manager,2017-04-03T00:00:00.000Z,1
JHUGSE,Hamish Chamberlayne,Portfolio Manager,2022-01-26T00:00:00.000Z,1
KAETPOF,Daniel Siluk,Portfolio Manager,2024-02-01T00:00:00.000Z,1
14,Christopher O'Malley,Portfolio Manager,2024-01-26T00:00:00.000Z,2
JHDT,Rob Shimell,Portfolio Manager,2023-09-30T00:00:00.000Z,2
STRI,Laura Foll,Portfolio Manager,2018-09-19T00:00:00.000Z,2
77,Julian McManus,Portfolio Manager,2018-01-01T00:00:00.000Z,1
GUKSAF,Ben Wallace,Portfolio Manager,2010-03-31T00:00:00.000Z,1
GPESEI,Tom O'Hara,Portfolio Manager,2020-01-31T00:00:00.000Z,1
83,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
848,John Kerschner,Portfolio Manager,2019-12-04T00:00:00.000Z,2
TEGIPE,Ollie Beckett,Portfolio Manager,2011-07-01T00:00:00.000Z,1
863,Carl Jones,Assistant Portfolio Manager,2024-05-20T00:00:00.000Z,5
85,Michael Keough,Portfolio Manager,2019-12-03T00:00:00.000Z,2
JHAGSE,Hamish Chamberlayne,Portfolio Manager,2021-09-01T00:00:00.000Z,1
AEBIFU,Marc Schartz,Portfolio Manager,2024-02-01T00:00:00.000Z,2
