ISIN,Country Available for Sale
GB00BDZT6269,United Kingdom;
GB00BF2DD910,United Kingdom;
GB00BF2DDB37,United Kingdom;
GB00BF2DDC44,United Kingdom;
GB00BF2DDD50,United Kingdom;
GB00BF2DDF74,United Kingdom;
GB00BF2DDG81,United Kingdom;
GB00BF2DDH98,United Kingdom;
GB00BF2DDJ13,United Kingdom;
GB00BF2DDK28,United Kingdom;
GB00BF77XB05,United Kingdom;
GB00BF8DGS54,United Kingdom;
GB00BF8HV829,United Kingdom;
GB00BF8HV936,United Kingdom;
GB00BF95R100,United Kingdom;
GB00BF95R217,United Kingdom;
GB00BF95R324,United Kingdom;
GB00BFDTFR03,United Kingdom;
GB00BFDTFV49,United Kingdom;
GB00BFDTFW55,United Kingdom;
GB00BFNKSK77,United Kingdom;
GB00BG5GY242,United Kingdom;
GB00BGHPZ938,United Kingdom;
GB00BGHPZB55,United Kingdom;
GB00BGHPZC62,United Kingdom;
GB00BGK8VR99,United Kingdom;
GB00BGK8VS07,United Kingdom;
GB00BGK8VT14,United Kingdom;
GB00BGQVHT66,United Kingdom;
GB00BHB1YY26,United Kingdom;
GB00BHTD8H17,United Kingdom;
GB00BJ00Z303,United Kingdom;
GB00BJ0LDZ17,United Kingdom;
GB00BJ0LF009,United Kingdom;
GB00BJ0LF116,United Kingdom;
GB00BJ0LF223,United Kingdom;
GB00BJ0LF330,United Kingdom;
GB00BJ0LF447,United Kingdom;
GB00BJ0LF553,United Kingdom;
GB00BJ0LF660,United Kingdom;
GB00BJ0LF777,United Kingdom;
GB00BJ0LF884,United Kingdom;
GB00BJ0LFB13,United Kingdom;
GB00BJ0LFC20,United Kingdom;
GB00BJ0LFD37,United Kingdom;
GB00BJ0LFF50,United Kingdom;
GB00BJ0LFG67,United Kingdom;
GB00BJ0LFH74,United Kingdom;
GB00BJ0LFJ98,United Kingdom;
GB00BJ0LFK04,United Kingdom;
GB00BJ0LFL11,United Kingdom;
GB00BJ0LFM28,United Kingdom;
GB00BJ0LFN35,United Kingdom;
GB00BJ0LFP58,United Kingdom;
GB00BJ0LFQ65,United Kingdom;
GB00BJ0LFR72,United Kingdom;
GB00BJ0LFS89,United Kingdom;
GB00BJ0LFT96,United Kingdom;
GB00BJ0LFW26,United Kingdom;
GB00BJ0LG072,United Kingdom;
GB00BJ0LG296,United Kingdom;
GB00BJ0LG304,United Kingdom;
GB00BJ0LG411,United Kingdom;
GB00BJ0LG528,United Kingdom;
GB00BJ0LG635,United Kingdom;
GB00BJ0LG742,United Kingdom;
GB00BJ0LG858,United Kingdom;
GB00BJ0LG965,United Kingdom;
GB00BJ0LGB87,United Kingdom;
GB00BJ0LGC94,United Kingdom;
GB00BJ0LGD02,United Kingdom;
GB00BJ0LGG33,United Kingdom;
GB00BJ0LGH40,United Kingdom;
GB00BJ0LGJ63,United Kingdom;
GB00BJ0LGK78,United Kingdom;
GB00BJ0LGL85,United Kingdom;
GB00BJ0LGN00,United Kingdom;
GB00BJ0LGP24,United Kingdom;
GB00BJ0LGV83,United Kingdom;
GB00BJ0LGW90,United Kingdom;
GB00BJ0LGX08,United Kingdom;
GB00BJLKXD51,United Kingdom;
GB00BJLKXF75,United Kingdom;
GB00BJLKXM43,United Kingdom;
GB00BJLKXN59,United Kingdom;
GB00BJLKY433,United Kingdom;
GB00BJLKY540,United Kingdom;
GB00BJTD6V58,United Kingdom;
GB00BJTM2B40,United Kingdom;
GB00BJTM2C56,United Kingdom;
GB00BJVDKZ57,United Kingdom;
GB00BK016M61,United Kingdom;
GB00BK4W8967,United Kingdom;
GB00BK4W8B89,United Kingdom;
GB00BKP52584,United Kingdom;
GB00BKP5XC23,United Kingdom;
GB00BKP5XD30,United Kingdom;
GB00BKP5XX36,United Kingdom;
GB00BKP5XY43,United Kingdom;
GB00BKP5ZQ09,United Kingdom;
GB00BKP5ZR16,United Kingdom;
GB00BKP5ZS23,United Kingdom;
GB00BKP5ZT30,United Kingdom;
GB00BKP65J61,United Kingdom;
GB00BKP65K76,United Kingdom;
GB00BKP65X06,United Kingdom;
GB00BKP65Y13,United Kingdom;
GB00BKP67236,United Kingdom;
GB00BKP67343,United Kingdom;
GB00BKP67459,United Kingdom;
GB00BKPHV137,United Kingdom;
GB00BKPHV350,United Kingdom;
GB00BKPJTG01,United Kingdom;
GB00BKPJTH18,United Kingdom;
GB00BKPJTJ32,United Kingdom;
GB00BKPJWZ03,United Kingdom;
GB00BKPJX022,United Kingdom;
GB00BKPJXK25,United Kingdom;
GB00BKPJXL32,United Kingdom;
GB00BKRCQL10,United Kingdom;
GB00BKRCQM27,United Kingdom;
GB00BKSB1F65,United Kingdom;
GB00BKSB1H89,United Kingdom;
GB00BKSB1J04,United Kingdom;
